size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 19, 5, 3,  5,  9,   , combine, 15,0.22,   0.000,"[9,0,4 0 3,7,6,3,6,0,4,1,6,0 8,4,1 1,0]","[1 1,0 8,9,6,6,7,0,1,0,0,3,4,6,4,4 0 3]"
 19, 5, 3,  5,  9,   ,combineS, 15,0.22,   0.000,"[9,0,4 0 3,7,6,3,6,0,4,1,6,0 8,4,1 1,0]","[1 1,0 8,9,6,6,7,0,1,0,0,3,4,6,4,4 0 3]"
 19, 5, 3,  5,  9,   ,  greedy, 15,0.22,   0.001,"[9,0,4 0 3,7,6,3,6,0,4,1,6,0,8,4,1 1 0]","[1 1 0,8,9,6,6,7,0,1,0,0,3,4,6,4,4 0 3]"
 19, 5, 3,  5,  9,  0,     pso, 15,0.22,   0.740,"[9,0,4 0 3,7,6,3,6,0,4,1,6,0,8,4,1 1 0]","[1 1 0,8,9,6,6,7,0,1,0,0,3,4,6,4,4 0 3]"
 19, 5, 3,  5,  9,  0, psoPure, 15,0.22,   0.738,"[9,0,4 0 3,7,6,3,6,0,4,1,6,0 8,4,1 1,0]","[1 1,0 8,9,6,6,7,0,1,0,0,3,4,6,4,4 0 3]"
 19, 5, 3,  5,  9,   ,     FPT, 15,0.22,   3.713,,
 20, 5, 2,  5, 12,   , combine, 12,0.42,   0.000,"[3,6 2,0 0,4 2,2,2 7 1,0 1,0,1,4,3 1 2,3]","[2,1,3,3 1 2,4,0 0,0 1,3,0,2 7 1,6 2,4 2]"
 20, 5, 2,  5, 12,   ,combineS, 12,0.42,   0.000,"[3,6 2,0 0,4 2,2,2 7 1,0 1,0,1,4,3 1 2,3]","[2,1,3,3 1 2,4,0 0,0 1,3,0,2 7 1,6 2,4 2]"
 20, 5, 2,  5, 12,   ,  greedy, 12,0.42,   0.000,"[3,6 2,0 0,4 2,2,2 7 1,0 1,0,1,4,3 1 2,3]","[2,1,3,3 1 2,4,0 0,0 1,3,0,2 7 1,6 2,4 2]"
 20, 5, 2,  5, 12,  0,     pso, 12,0.42,   1.580,"[3,6 2,0 0,4 2,2,2 7 1,0 1,0,1,4,3 1 2,3]","[2,1,3,3 1 2,4,0 0,0 1,3,0,2 7 1,6 2,4 2]"
 20, 5, 2,  5, 12,  0, psoPure, 12,0.42,   1.595,"[3,6 2,0 0,4 2,2,2 7 1,0,1,0 1,4,3 1 2,3]","[2,1,3,3 1 2,4,0 0,0 1,3,0,2 7 1,6 2,4 2]"
 20, 5, 2,  5, 12,   ,     FPT, 12,0.42,   2.480,,
 20, 5, 2,  6, 19,   , combine, 13,0.37,   0.000,"[4 1 3 4,4,3,1,6,5,4,0 2 1 2,0 1,2,1,2,1]","[0 2 1 2,3,4,2,6,1,1,1,0 1,4 1 3 4,2,4,5]"
