size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
14,4,4,4,3,,combine,12,0.15384615384615385,0.0,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]",0 3 0 8 0 0 1 7 3 6 1 4 4 53 0 1 0 6 5 0 7 0 4 3 1 4 8
14,4,4,4,3,,combineS,12,0.15384615384615385,0.0,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]",0 3 0 8 0 0 1 7 3 6 1 4 4 53 0 1 0 6 5 0 7 0 4 3 1 4 8
14,4,4,4,3,,greedy,12,0.15384615384615385,0.0,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]",0 3 0 8 0 0 1 7 3 6 1 4 4 53 0 1 0 6 5 0 7 0 4 3 1 4 8
14,4,4,4,3,0,pso,12,0.15384615384615385,0.276,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]",0 3 0 8 0 0 1 7 3 6 1 4 4 53 0 1 0 6 5 0 7 0 4 3 1 4 8
14,4,4,4,3,0,psoPure,12,0.15384615384615385,0.29,"[0,3,0,8,0,0 1,7,3,6,1 4,4,5]","[3,0 1,0,6,5,0,7,0,4,3,1 4,8]",0 3 0 8 0 0 1 7 3 6 1 4 4 53 0 1 0 6 5 0 7 0 4 3 1 4 8
14,4,4,4,3,0,psoComb,12,0.15384615384615385,1.033,"[0,3 0,8,0,0,1,7,3,6,1 4,4,5]","[3 0,1,0,6,5,0,7,0,4,3,1 4,8]",0 3 0 8 0 0 1 7 3 6 1 4 4 53 0 1 0 6 5 0 7 0 4 3 1 4 8
14,4,4,4,3,,FPT,11,0.23076923076923078,0.17,,,0 3 0 8 0 0 1 7 3 6 1 4 4 53 0 1 0 6 5 0 7 0 4 3 1 4 8
15,3,6,4,4,,combine,13,0.14285714285714285,0.0,"[3,0,5,2 3,2,3,7,6,3,4,0,8,9 0]","[0,0,9 0,2 3,4,3,3,8,7,3,6,2,5]",3 0 5 2 3 2 3 7 6 3 4 0 8 9 00 0 9 0 2 3 4 3 3 8 7 3 6 2 5
15,3,6,4,4,,combineS,13,0.14285714285714285,0.0,"[3,0,5,2,3,2,3,7,6,3 4,0,8,9 0]","[0,0,9 0,2,3 4,3,3,8,7,3,6,2,5]",3 0 5 2 3 2 3 7 6 3 4 0 8 9 00 0 9 0 2 3 4 3 3 8 7 3 6 2 5
15,3,6,4,4,,greedy,13,0.14285714285714285,0.001,"[3,0,5,2,3,2,3,7,6,3 4,0,8,9 0]","[0,0,9 0,2,3 4,3,3,8,7,3,6,2,5]",3 0 5 2 3 2 3 7 6 3 4 0 8 9 00 0 9 0 2 3 4 3 3 8 7 3 6 2 5
15,3,6,4,4,0,pso,13,0.14285714285714285,0.36,"[3,0,5,2 3,2,3,7,6,3,4,0,8,9 0]","[0,0,9 0,2 3,4,3,3,8,7,3,6,2,5]",3 0 5 2 3 2 3 7 6 3 4 0 8 9 00 0 9 0 2 3 4 3 3 8 7 3 6 2 5
15,3,6,4,4,0,psoPure,13,0.14285714285714285,0.356,"[3,0,5,2,3,2 3,7,6,3,4,0,8,9 0]","[0,0,9 0,2 3,4,3,3,8,7,3,6,2,5]",3 0 5 2 3 2 3 7 6 3 4 0 8 9 00 0 9 0 2 3 4 3 3 8 7 3 6 2 5
