Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
(size=100 #rep=2 #sing=5 shuffle=Chars)/edgeSet1,4.15168223520714e-2,4.106210061913487e-2,4.215204821308366e-2,1.2758795804660402e-3,8.461831458817648e-4,2.0315602838831756e-3
(size=100 #rep=2 #sing=5 shuffle=Chars)/edgeSet2,6.31744297361012e-4,6.31290637594593e-4,6.32481733930473e-4,2.0206509621320374e-6,1.4628586748481602e-6,2.6877397073541524e-6
(size=100 #rep=2 #sing=5 shuffle=Chars)/edgeSet3,6.393379576071411e-4,6.375241265175614e-4,6.427007701293432e-4,8.991233189465099e-6,5.061370620709147e-6,1.5497935172711002e-5
(size=100 #rep=2 #sing=5 shuffle=Chars)/edgeSet4,3.278156993983357e-2,3.248732328955003e-2,3.3193702788636294e-2,8.308388590315543e-4,6.877180930994471e-4,1.0638398368537766e-3
(size=100 #rep=2 #sing=5 shuffle=Chars)/edgeSet5,2.6992623899926054e-2,2.6802979201999224e-2,2.724332144949977e-2,5.962915770217125e-4,4.822638558475134e-4,7.80341181330644e-4
(size=100 #rep=2 #sing=60 shuffle=Chars)/edgeSet1,3.713390685321985e-2,3.665147608936593e-2,3.802388432653176e-2,1.7164446294718363e-3,1.0942103849765747e-3,2.456866445744331e-3
(size=100 #rep=2 #sing=60 shuffle=Chars)/edgeSet2,4.351299909470052e-4,4.34622004573312e-4,4.355651017957219e-4,1.7521558396367313e-6,1.54252686177589e-6,2.074158211318456e-6
(size=100 #rep=2 #sing=60 shuffle=Chars)/edgeSet3,4.4228253067931354e-4,4.4165427038486753e-4,4.430184713566488e-4,2.359143479337556e-6,1.9708074350470135e-6,2.8855574727292016e-6
(size=100 #rep=2 #sing=60 shuffle=Chars)/edgeSet4,1.791853547112838e-3,1.7851022522888326e-3,1.8024248982937896e-3,3.340313211649653e-5,2.8218943503481523e-5,4.063570863784817e-5
(size=100 #rep=2 #sing=60 shuffle=Chars)/edgeSet5,1.427646701453713e-3,1.4205805520660414e-3,1.4411717281221296e-3,3.8325407353753596e-5,2.0657444546314225e-5,7.873300284917247e-5
