size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 60, 5, 5, 16,131, combine, 38,0.37,   0.001,"[1 4,2,2 0,1 3,4 0,1 0,3,6,4,0 0,3,9,3 0,1 0,1,0 2,0 0,4 4,3 2,2 4,2,0 1,4,0,0,0 3,2,2 8,7,1 1,3,4 3,5,1 1,1,0,3 3 0,4 1]","[0 0,0 0,0,3 0,4,1 1,2 4,3,4 0,3,4 4,4 3,1 1,5,0,0 1,2 8,1,1 4,6,3 2,1 0,1 0,0 3,1 3,2,4,4 1,2,3 3 0,2 0,0 2,1,7,3,0,2,9]"
 60, 5, 5, 14,108, combine, 38,0.37,   0.001,"[2 1,1 4,2 0,8,2 1,3,0 2,2 2,4 0,5 4,0 2 0,7,6,2,9 0,4,1 1,0 3,0,4,3,0,2 4,4 2,3,0 1,0 3,2 4,1 2,1,4,1,3,0,3 2 3,2 0,4,1]","[1 1,2 0,4 2,2 1,4,2 1,2 0,0 2 0,1 4,3 2 3,2 2,3,2,3,1,0,0 1,8,0 3,5 4,6,9 0,1,1,4 0,4,0,0 3,3,4,7,2 4,2 4,4,0,0 2,1 2,3]"
 60, 5, 5, 16,150, combine, 37,0.39,   0.001,"[3 4,0,2 3,4,7,2 4 3,2,3 0,1 2 0,4 2,5 3 4 4,2,0,3 0,4 2,8,3,1,4 1,3 4 4,0 4,4,1,2,3 3,1,4,2,6,3 4 4 0,9,1,0,3,1 3,4 3,3]","[3 0,7,4 1,3 0,8,2 4 3,3 4 4,2 3,0,9,3,2,4 2,4,4 3,2,2,4,4,3 3,0,1 2 0,1 3,3 4 4 0,0,0 4,4 2,1,1,6,1,5 3 4 4,3,3,2,1,3 4]"
 60, 5, 5, 19,181, combine, 38,0.37,   0.000,"[4 0 4,9,1 3 0 3,4 0,3,2 0,2,4 2,1 0,3 1,1 4,0 4 4,3 0,0,4,8,0,4 4,1 2,4,3 0 4,1,2,4 1,7,0,4,3 0,4 4,1,2,4,3,5,3 4,4,6,1]","[0,1 0,1 3 0 3,0 4 4,1 2,2 0,4 4,3 1,4 0 4,4 2,2,0,5,6,9,3 0 4,1 4,4,4 1,3 0,2,3 0,8,4,4 0,1,4 4,4,2,0,3,3 4,1,3,4,1,4,7]"
 60, 5, 5, 13,143, combine, 34,0.44,   0.000,"[0 1,1,2 4,1 1,3 3,3 4,5,4 0,4 4,4 0 4 3,2 3,7,0,9,0,3 2,2,1 0,0 0 0,2,8 3 0,3 2,3,0 2,2 3,1,2 0,3 1,0,4 3,6 1,1 1,4,4 3]","[3 2,0,2 4,3 2,7,3 4,1,4 0,0 0 0,4 0 4 3,0,0,5,2 3,1 0,4 4,3 3,4 3,0 1,2 3,3,9,1,4 3,2,2 0,4,1 1,1 1,6 1,8 3 0,2,3 1,0 2]"
 60, 5, 5, 14,132, combine, 37,0.39,   0.000,"[4,3 2,0 4 0,1 2,2 1 2,3 2 2,1,8,0 1,4,3,2 3 1,7,0 4,3 4,4,3,5,0,1,3,3,2 3 0,1,1 2 1,0,2,4 1,1 2,0,2 0,2 0 3,4,4 1,2,9,6]","[1 2 1,0 1,3,1 2,0 4 0,3 2 2,3 4,0 4,1,4,2 3 0,3,4 1,4,2,6,7,4 1,2 3 1,4,1,0,8,2 0 3,1,3 2,5,3,9,3,4,1 2,2 0,0,2 1 2,2,0]"
 60, 5, 5, 15,102, combine, 44,0.27,   0.000,"[3,0 1,4 1,1,3,2 0,1 0,4 3,7,1,3,2 1,9,4,0 1,2,4 1,0 0,1,3,0,2 3,0,1 4,0,2,4 2,6,3 1,2,4 1,0 4,2,1,5,4,2,8,1 4,3,2,1,0,2]","[1,0 1,1,4 3,4 1,3,6,2 3,3,4,3,3,1 4,4 1,9,8,2,7,4 1,2,2 0,3,5,0 0,1 0,2,2,2,2,0,0,0 4,4,1,1 4,1,4 2,2,2 1,0,0 1,0,3 1,1]"
 60, 5, 5, 12,144, combine, 35,0.42,   0.000,"[2 2,6,7,0 4,3 1,0,1,5,2 4,3 1,3,4 3,8 2 2,3 0,4,9,3,4,4 0,2,3 1 0,0 0 0,1 2,0 3 1,1,0 0,4 1,4,2 4,0 2,1,2,4,4 1 3,4 1 1]","[3 1,4,6,2,0 0,3 1,1,2 2,4,5,4,1 2,9,4 3,0 2,2 4,7,1,4 1,3 1 0,3,1,0 4,4 1 1,4,8 2 2,4 0,3 0,0,0 3 1,3,2,2 4,0 0 0,4 1 3]"
 60, 5, 5, 17,143, combine, 39,0.36,   0.000,"[4 1 0,4 1,2 3,4,0 1,1 1,0,6,4 3,3 4,3 1,0 1,1 3,0 4,7,1 3,4,0,1,1 2,8,2 0,2 1,0 4,3 1,5,2 3,4,2 4,3,1 3,1,1,9,4,0,1,3,4]","[1 3,2 4,6,1,2 3,3 1,4,4 1 0,1 1,1,0,4 1,1,4 3,0,3 4,7,4,1 3,0 1,4,3,8,1 3,9,0 4,5,1 2,2 1,3 1,2 3,0 1,0 4,1,4,2 0,0,4,3]"
 60, 5, 5, 13,134, combine, 36,0.41,   0.000,"[1,4 4,1 2 0,3 4,3 0,0 0,2 0,0 3 1,0 1 1,1 3 3,0,6,2 3,0 0,2 2,3,3,9,1 2,4,3,2 1 0,1 2 4,1,1,8,2,7,3,2,4,4,4 0,1,2 5,2 0]","[4,0 0,6,3,1,1 2 0,0 1 1,0 0,0 3 1,1 2,4 4,3,1,2 2,4 0,2,9,3,7,2,2 5,8,2 0,2 0,0,4,2 3,1,3 4,2 1 0,4,3 0,3,1,1 2 4,1 3 3]"
