size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
 29, 4,17,  4,  4,   , combine, 27,0.07,   0.000,"[18,19 1 2,15,0,5,9,8,20,0,17,1,3,2,12,7,10,3,2,13,14,11,0,1,21,2,6,16]","[9,2,11,10,7,21,20,2,5,1,0,16,3,18,0,19 1 2,13,12,15,17,3,0,8,2,1,6,14]","(18 19 1 2 15 0 5 9 8 20 0 17 1 3 2 12 7 10 3 2 13 14 11 0 1 21 2 6 16,9 2 11 10 7 21 20 2 5 1 0 16 3 18 0 19 1 2 13 12 15 17 3 0 8 2 1 6 14)"
 29, 4,17,  4,  4,   ,combineS, 27,0.07,   0.000,"[18,19 1 2,15,0,5,9,8,20,0,17,1,3,2,12,7,10,3,2,13,14,11,0,1,21,2,6,16]","[9,2,11,10,7,21,20,2,5,1,0,16,3,18,0,19 1 2,13,12,15,17,3,0,8,2,1,6,14]","(18 19 1 2 15 0 5 9 8 20 0 17 1 3 2 12 7 10 3 2 13 14 11 0 1 21 2 6 16,9 2 11 10 7 21 20 2 5 1 0 16 3 18 0 19 1 2 13 12 15 17 3 0 8 2 1 6 14)"
 29, 4,17,  4,  4,   ,  greedy, 27,0.07,   0.002,"[18,19 1 2,15,0,5,9,8,20,0,17,1,3,2,12,7,10,3,2,13,14,11,0,1,21,2,6,16]","[9,2,11,10,7,21,20,2,5,1,0,16,3,18,0,19 1 2,13,12,15,17,3,0,8,2,1,6,14]","(18 19 1 2 15 0 5 9 8 20 0 17 1 3 2 12 7 10 3 2 13 14 11 0 1 21 2 6 16,9 2 11 10 7 21 20 2 5 1 0 16 3 18 0 19 1 2 13 12 15 17 3 0 8 2 1 6 14)"
 29, 4,17,  4,  4,  0,     pso, 27,0.07,   0.123,"[18,19 1 2,15,0,5,9,8,20,0,17,1,3,2,12,7,10,3,2,13,14,11,0,1,21,2,6,16]","[9,2,11,10,7,21,20,2,5,1,0,16,3,18,0,19 1 2,13,12,15,17,3,0,8,2,1,6,14]","(18 19 1 2 15 0 5 9 8 20 0 17 1 3 2 12 7 10 3 2 13 14 11 0 1 21 2 6 16,9 2 11 10 7 21 20 2 5 1 0 16 3 18 0 19 1 2 13 12 15 17 3 0 8 2 1 6 14)"
 29, 4,17,  4,  4,  0, psoPure, 27,0.07,   0.121,"[18,19 1 2,15,0,5,9,8,20,0,17,1,3,2,12,7,10,3,2,13,14,11,0,1,21,2,6,16]","[9,2,11,10,7,21,20,2,5,1,0,16,3,18,0,19 1 2,13,12,15,17,3,0,8,2,1,6,14]","(18 19 1 2 15 0 5 9 8 20 0 17 1 3 2 12 7 10 3 2 13 14 11 0 1 21 2 6 16,9 2 11 10 7 21 20 2 5 1 0 16 3 18 0 19 1 2 13 12 15 17 3 0 8 2 1 6 14)"
 29, 4,17,  4,  4,  0,psoCombS, 27,0.07,   2.217,"[18,19 1 2,15,0,5,9,8,20,0,17,1,3,2,12,7,10,3,2,13,14,11,0,1,21,2,6,16]","[9,2,11,10,7,21,20,2,5,1,0,16,3,18,0,19 1 2,13,12,15,17,3,0,8,2,1,6,14]","(18 19 1 2 15 0 5 9 8 20 0 17 1 3 2 12 7 10 3 2 13 14 11 0 1 21 2 6 16,9 2 11 10 7 21 20 2 5 1 0 16 3 18 0 19 1 2 13 12 15 17 3 0 8 2 1 6 14)"
 52, 7,30,  5,  2,   , combine, 50,0.04,   0.000,"[19,24,5,27,34,6 16,6,30,3,14,28,7,10,29,11,0,0,6,4,4,33,2,12,4,13,7,18,32,17,37,38,35,22,2,4,15,26,7,5,5,23,21,2,7,4 3,39,25,20,36,31]","[5,7,0,35,4,6,36,27,33,24,18,38,13,25,37,7,19,20,4,12,5,4 3,21,0,3,4,31,39,32,15,10,30,4,6,22,23,2,14,34,7,26,6 16,11,7,2,29,5,2,28,17]","(19 24 5 27 34 6 16 6 30 3 14 28 7 10 29 11 0 0 6 4 4 33 2 12 4 13 7 18 32 17 37 38 35 22 2 4 15 26 7 5 5 23 21 2 7 4 3 39 25 20 36 31,5 7 0 35 4 6 36 27 33 24 18 38 13 25 37 7 19 20 4 12 5 4 3 21 0 3 4 31 39 32 15 10 30 4 6 22 23 2 14 34 7 26 6 16 11 7 2 29 5 2 28 17)"
 52, 7,30,  5,  2,   ,combineS, 50,0.04,   0.001,"[19,24,5,27,34,6 16,6,30,3,14,28,7,10,29,11,0,0,6,4,4,33,2,12,4,13,7,18,32,17,37,38,35,22,2,4,15,26,7,5,5,23,21,2,7,4 3,39,25,20,36,31]","[5,7,0,35,4,6,36,27,33,24,18,38,13,25,37,7,19,20,4,12,5,4 3,21,0,3,4,31,39,32,15,10,30,4,6,22,23,2,14,34,7,26,6 16,11,7,2,29,5,2,28,17]","(19 24 5 27 34 6 16 6 30 3 14 28 7 10 29 11 0 0 6 4 4 33 2 12 4 13 7 18 32 17 37 38 35 22 2 4 15 26 7 5 5 23 21 2 7 4 3 39 25 20 36 31,5 7 0 35 4 6 36 27 33 24 18 38 13 25 37 7 19 20 4 12 5 4 3 21 0 3 4 31 39 32 15 10 30 4 6 22 23 2 14 34 7 26 6 16 11 7 2 29 5 2 28 17)"
 52, 7,30,  5,  2,   ,  greedy, 50,0.04,   0.007,"[19,24,5,27,34,6 16,6,30,3,14,28,7,10,29,11,0,0,6,4,4,33,2,12,4,13,7,18,32,17,37,38,35,22,2,4,15,26,7,5,5,23,21,2,7,4 3,39,25,20,36,31]","[5,7,0,35,4,6,36,27,33,24,18,38,13,25,37,7,19,20,4,12,5,4 3,21,0,3,4,31,39,32,15,10,30,4,6,22,23,2,14,34,7,26,6 16,11,7,2,29,5,2,28,17]","(19 24 5 27 34 6 16 6 30 3 14 28 7 10 29 11 0 0 6 4 4 33 2 12 4 13 7 18 32 17 37 38 35 22 2 4 15 26 7 5 5 23 21 2 7 4 3 39 25 20 36 31,5 7 0 35 4 6 36 27 33 24 18 38 13 25 37 7 19 20 4 12 5 4 3 21 0 3 4 31 39 32 15 10 30 4 6 22 23 2 14 34 7 26 6 16 11 7 2 29 5 2 28 17)"
 52, 7,30,  5,  2,  0,     pso, 50,0.04,   0.072,"[19,24,5,27,34,6 16,6,30,3,14,28,7,10,29,11,0,0,6,4,4,33,2,12,4,13,7,18,32,17,37,38,35,22,2,4,15,26,7,5,5,23,21,2,7,4 3,39,25,20,36,31]","[5,7,0,35,4,6,36,27,33,24,18,38,13,25,37,7,19,20,4,12,5,4 3,21,0,3,4,31,39,32,15,10,30,4,6,22,23,2,14,34,7,26,6 16,11,7,2,29,5,2,28,17]","(19 24 5 27 34 6 16 6 30 3 14 28 7 10 29 11 0 0 6 4 4 33 2 12 4 13 7 18 32 17 37 38 35 22 2 4 15 26 7 5 5 23 21 2 7 4 3 39 25 20 36 31,5 7 0 35 4 6 36 27 33 24 18 38 13 25 37 7 19 20 4 12 5 4 3 21 0 3 4 31 39 32 15 10 30 4 6 22 23 2 14 34 7 26 6 16 11 7 2 29 5 2 28 17)"
