size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 41, 7,20,  4,  9, combine, 38,0.08,   0.001,"[6,12,14,19,8 4,23,1,7,16,8,7,15,7 6,29,26,6,8,4,18,5,28,9,8 9,1,25,4,11,20,10,21,22,27,13,17,24,4,1,5]","[11,15,12,8 9,10,8,9,16,1,4,26,25,7,22,5,18,7,20,28,4,6,8 4,19,13,4,23,6,29,7 6,27,5,14,8,24,1,21,1,17]"
 41, 7,20,  4,  9,combineS, 36,0.12,   0.001,"[6,12,14,19,8,4 23,1,7,16,8,7,15,7,6 29,26,6 8 4,18,5,28,9,8 9,1,25,4,11,20,10,21,22,27,13,17,24,4,1,5]","[11,15,12,8 9,10,8,9,16,1,4,26,25,7,22,5,18,7,20,28,4,6 8 4,19,13,4 23,6 29,7,6,27,5,14,8,24,1,21,1,17]"
 41, 7,20,  4,  9,  greedy, 36,0.12,   0.005,"[6,12,14,19,8,4 23,1,7,16,8,7,15,7 6,29,26,6 8 4,18,5,28,9,8 9,1,25,4,11,20,10,21,22,27,13,17,24,4,1,5]","[11,15,12,8 9,10,8,9,16,1,4,26,25,7,22,5,18,7,20,28,4,6 8 4,19,13,4 23,6,29,7 6,27,5,14,8,24,1,21,1,17]"
 41, 7,20,  4,  9,     pso, 36,0.12,   0.621,"[6,12,14,19,8,4 23,1,7,16,8,7,15,7 6,29,26,6 8 4,18,5,28,9,8 9,1,25,4,11,20,10,21,22,27,13,17,24,4,1,5]","[11,15,12,8 9,10,8,9,16,1,4,26,25,7,22,5,18,7,20,28,4,6 8 4,19,13,4 23,6,29,7 6,27,5,14,8,24,1,21,1,17]"
 78, 9,27,  9, 32, combine, 63,0.19,   0.001,"[8,22,6,24,2,7 7,20,8,18,26,8,5,3,29,8 6,6,16,12,7,33,9,0,35,5,8 6,32 3,7,11,5,8,8,36,7 2,6 7,3,14,15,13,9,34,0 6 9,21,19,17 6,9,7 3,3 2,2 6,6,25,23,7,8 3,27,31 2,10,2 1,1,30,2,28,2,3]","[17 6,1,7,5,15,8 6,7 2,12,8,9,8,33,29,16,2,8 3,10,5,28,2 6,7 7,6,9,20,32 3,2 1,7 3,8 6,0 6 9,27,18,25,19,3 2,6,3,9,2,34,8,7,2,8,0,6 7,5,14,35,11,7,24,30,26,22,8,23,31 2,36,21,3,6,13,3]"
 78, 9,27,  9, 32,combineS, 63,0.19,   0.001,"[8,22,6,24,2,7 7,20,8,18,26,8,5,3,29,8 6,6,16,12,7,33,9,0,35,5,8 6,32 3,7,11,5,8,8,36,7 2,6 7,3,14,15,13,9,34,0 6 9,21,19,17 6,9,7 3,3 2,2,6,6,25,23,7,8 3,27,31 2,10,2 1,1,30,2,28 2,3]","[17 6,1,7,5,15,8 6,7 2,12,8,9,8,33,29,16,2,8 3,10,5,28 2,6,7 7,6,9,20,32 3,2 1,7 3,8 6,0 6 9,27,18,25,19,3 2,6,3,9,2,34,8,7,2,8,0,6 7,5,14,35,11,7,24,30,26,22,8,23,31 2,36,21,3,6,13,3]"
 78, 9,27,  9, 32,  greedy, 66,0.16,   0.017,"[8,22,6,24,2,7,7,20,8,18,26,8,5,3,29,8 6,6,16,12,7,33,9,0,35,5,8 6,32,3,7,11,5,8,8,36,7,2 6 7,3,14,15,13,9,34,0 6 9,21,19,17,6 9,7 3,3 2,2 6,6,25,23,7,8 3,27,31 2,10,2,1,1,30,2,28,2,3]","[17,6,1,7,5,15,8 6,7,2,12,8,9,8,33,29,16,2,8 3,10,5,28,2 6 7,7,6 9,20,32,3 2,1,7 3,8 6,0 6 9,27,18,25,19,3,2 6,3,9,2,34,8,7,2,8,0,6,7,5,14,35,11,7,24,30,26,22,8,23,31 2,36,21,3,6,13,3]"
 78, 9,27,  9, 32,     pso, 63,0.19,   4.740,"[8,22,6,24,2,7 7,20,8,18,26,8,5,3,29,8 6,6,16,12,7,33,9,0,35,5,8 6,32 3,7,11,5,8,8,36,7 2,6 7,3,14,15,13,9,34,0 6 9,21,19,17 6,9,7 3,3 2,2 6,6,25,23,7,8 3,27,31 2,10,2 1,1,30,2,28,2,3]","[17 6,1,7,5,15,8 6,7 2,12,8,9,8,33,29,16,2,8 3,10,5,28,2 6,7 7,6,9,20,32 3,2 1,7 3,8 6,0 6 9,27,18,25,19,3 2,6,3,9,2,34,8,7,2,8,0,6 7,5,14,35,11,7,24,30,26,22,8,23,31 2,36,21,3,6,13,3]"
 37, 4,19,  6,  8, combine, 32,0.14,   0.001,"[2,3,11,4 1,4,3 1,1,1,13,21,16,6,22,18,14,4,2 19,17,7,12,1,20,8,2,4 15,23 1,5,4,10,4,3,9]","[2 19,9,4,17,3,4 1,1,21,7,1,4,13,22,3,3 1,23 1,10,2,11,2,6,12,18,4,20,5,16,4 15,1,14,8,4]"
 37, 4,19,  6,  8,combineS, 32,0.14,   0.001,"[2,3,11,4 1,4,3 1,1,1,13,21,16,6,22,18,14,4,2 19,17,7,12,1,20,8,2,4 15,23 1,5,4,10,4,3,9]","[2 19,9,4,17,3,4 1,1,21,7,1,4,13,22,3,3 1,23 1,10,2,11,2,6,12,18,4,20,5,16,4 15,1,14,8,4]"
