size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 30, 5,11,  5,  5,   , combine, 25,0.17,   0.000,"[1,1,1,1 2,2,2,2 3,3,3,3,3,4,4 5,5,5,5,20,21,22,23,24 25,26 27,28,29,30]","[1,4 5,2,1,5,1 2,26 27,21,28,5,22,3,24 25,4,20,3,30,3,1,5,23,2,29,3,2 3]"
 30, 5,11,  5,  5,   ,combineS, 25,0.17,   0.000,"[1,1,1,1 2,2,2,2 3,3,3,3,3,4,4 5,5,5,5,20,21,22,23,24 25,26 27,28,29,30]","[1,4 5,2,1,5,1 2,26 27,21,28,5,22,3,24 25,4,20,3,30,3,1,5,23,2,29,3,2 3]"
 30, 5,11,  5,  5,   ,  greedy, 25,0.17,   0.003,"[1,1,1,1 2,2,2,2 3,3,3,3,3,4,4 5,5,5,5,20,21,22,23,24 25,26 27,28,29,30]","[1,4 5,2,1,5,1 2,26 27,21,28,5,22,3,24 25,4,20,3,30,3,1,5,23,2,29,3,2 3]"
 30, 5,11,  5,  5,  0,     pso, 25,0.17,   0.689,"[1,1,1,1 2,2,2,2 3,3,3,3,3,4,4 5,5,5,5,20,21,22,23,24 25,26 27,28,29,30]","[1,4 5,2,1,5,1 2,26 27,21,28,5,22,3,24 25,4,20,3,30,3,1,5,23,2,29,3,2 3]"
 30, 5,11,  5,  5,   ,     FPT, 24,0.21,  17.173,"",""
 30, 4,15,  5,  1,   , combine, 29,0.03,   0.000,"[1,1,1,1,1,2,3,3,3,3,3 4,4,5,5,5,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,3 4,24,17,25,23,5,3,30,1,22,1,3,2,4,1,3,27,21,28,19,5,29,20,1,5,1,3,18]"
 30, 4,15,  5,  1,   ,combineS, 29,0.03,   0.000,"[1,1,1,1,1,2,3,3,3,3,3 4,4,5,5,5,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,3 4,24,17,25,23,5,3,30,1,22,1,3,2,4,1,3,27,21,28,19,5,29,20,1,5,1,3,18]"
 30, 4,15,  5,  1,   ,  greedy, 29,0.03,   0.002,"[1,1,1,1,1,2,3,3,3,3,3 4,4,5,5,5,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,3 4,24,17,25,23,5,3,30,1,22,1,3,2,4,1,3,27,21,28,19,5,29,20,1,5,1,3,18]"
 30, 4,15,  5,  1,  0,     pso, 29,0.03,   0.051,"[1,1,1,1,1,2,3,3,3,3,3 4,4,5,5,5,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,3 4,24,17,25,23,5,3,30,1,22,1,3,2,4,1,3,27,21,28,19,5,29,20,1,5,1,3,18]"
 30, 4,15,  5,  1,   ,     FPT, 29,0.03,   3.149,"",""
 30, 3,19,  4,  3,   , combine, 29,0.03,   0.000,"[1,1,1,1,2 2,2,2,3,4,5,5,5,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,21,29,5,2,5,4,30,1,17,2 2,16,1,22,18,15,25,20,14,3,1,28,2,1,23,19,24,27,5]"
 30, 3,19,  4,  3,   ,combineS, 29,0.03,   0.000,"[1,1,1,1,2 2,2,2,3,4,5,5,5,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,21,29,5,2,5,4,30,1,17,2 2,16,1,22,18,15,25,20,14,3,1,28,2,1,23,19,24,27,5]"
 30, 3,19,  4,  3,   ,  greedy, 29,0.03,   0.002,"[1,1,1,1,2 2,2,2,3,4,5,5,5,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","[26,21,29,5,2,5,4,30,1,17,2 2,16,1,22,18,15,25,20,14,3,1,28,2,1,23,19,24,27,5]"
