size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 77, 7,29,  9, 28,   , combine, 64,0.17,   0.001,"[22,0 7,4,4,23,19,5,3 3,6,32,5 6,35,3,5,1 0,31,27,2 3,6,28,21,25,6,8,24,4 3,29,1,1 4,30,12 0,2,9,5 2,16,33,3,3 14,2,2 5,6,17,6,3,0,13,15,4,0,18,5,0 1,0,1,34,26,20,10,4,2 4,6,3,11,1]","[3,4,15,3,30,6,11,1 0,8,0 7,20,1,32,0,2 4,17,23,10,27,1,3 14,21,28,12 0,35,25,1,9,6,2 3,22,34,0,5,19,31,3,26,24,6,4,5 2,2 5,29,3,6,2,1 4,6,5 6,4,6,3 3,2,18,4,13,5,16,0,4 3,33,0 1,5]"
 77, 7,29,  9, 28,   ,combineS, 64,0.17,   0.003,"[22,0 7,4,4,23,19,5,3 3,6,32,5 6,35,3,5,1,0,31,27,2 3,6,28,21,25,6,8,24,4 3,29,1,1 4,30,12 0,2,9,5 2,16,33,3,3 14,2,2 5,6,17,6,3,0,13,15,4,0,18,5,0 1,0,1,34,26,20,10,4,2 4,6,3,11 1]","[3,4,15,3,30,6,11 1,0,8,0 7,20,1,32,0,2 4,17,23,10,27,1,3 14,21,28,12 0,35,25,1,9,6,2 3,22,34,0,5,19,31,3,26,24,6,4,5 2,2 5,29,3,6,2,1 4,6,5 6,4,6,3 3,2,18,4,13,5,16,0,4 3,33,0 1,5]"
 77, 7,29,  9, 28,   ,  greedy, 63,0.18,   0.021,"[22,0 7,4,4,23,19,5,3,3 6,32,5 6,35,3,5,1,0,31,27,2 3,6,28,21,25,6,8,24,4 3,29,1,1 4,30,12 0,2,9,5,2,16,33,3,3 14,2 2 5,6,17,6,3,0,13,15,4,0,18,5,0 1,0,1,34,26,20,10,4,2,4 6 3,11 1]","[3,4,15,3,30,6,11 1,0,8,0 7,20,1,32,0,2,4,17,23,10,27,1,3 14,21,28,12 0,35,25,1,9,6,2 3,22,34,0,5,19,31,3,26,24,6,4,5,2 2 5,29,3 6,2,1 4,6,5 6,4 6 3,3,2,18,4,13,5,16,0,4 3,33,0 1,5]"
 77, 7,29,  9, 28,  0,     pso, 63,0.18,  11.898,"[22,0 7,4,4,23,19,5,3,3 6,32,5 6,35,3,5,1,0,31,27,2 3,6,28,21,25,6,8,24,4 3,29,1,1 4,30,12 0,2,9,5,2,16,33,3,3 14,2 2 5,6,17,6,3,0,13,15,4,0,18,5,0 1,0,1,34,26,20,10,4,2,4 6 3,11 1]","[3,4,15,3,30,6,11 1,0,8,0 7,20,1,32,0,2,4,17,23,10,27,1,3 14,21,28,12 0,35,25,1,9,6,2 3,22,34,0,5,19,31,3,26,24,6,4,5,2 2 5,29,3 6,2,1 4,6,5 6,4 6 3,3,2,18,4,13,5,16,0,4 3,33,0 1,5]"
 50, 7,30,  4,  2,   , combine, 48,0.04,   0.001,"[5,37,36,28,6,5,1,31,7,30,15,6,23,29,26,13,4,27,0,18,19,14,10,17,8,7,34,3 20,11,25,16,32,4,35,6,21,1,4,3,9,22,3 7,12,7,33,3,0,24]","[9,27,19,36,31,8,3 7,4,16,28,3,5,15,23,0,34,35,33,1,11,22,25,4,7,32,6,7,0,12,30,7,21,26,4,18,5,3,6,13,10,37,1,14,29,6,24,17,3 20]"
 50, 7,30,  4,  2,   ,combineS, 48,0.04,   0.001,"[5,37,36,28,6,5,1,31,7,30,15,6,23,29,26,13,4,27,0,18,19,14,10,17,8,7,34,3 20,11,25,16,32,4,35,6,21,1,4,3,9,22,3 7,12,7,33,3,0,24]","[9,27,19,36,31,8,3 7,4,16,28,3,5,15,23,0,34,35,33,1,11,22,25,4,7,32,6,7,0,12,30,7,21,26,4,18,5,3,6,13,10,37,1,14,29,6,24,17,3 20]"
 50, 7,30,  4,  2,   ,  greedy, 48,0.04,   0.012,"[5,37,36,28,6,5,1,31,7,30,15,6,23,29,26,13,4,27,0,18,19,14,10,17,8,7,34,3 20,11,25,16,32,4,35,6,21,1,4,3,9,22,3 7,12,7,33,3,0,24]","[9,27,19,36,31,8,3 7,4,16,28,3,5,15,23,0,34,35,33,1,11,22,25,4,7,32,6,7,0,12,30,7,21,26,4,18,5,3,6,13,10,37,1,14,29,6,24,17,3 20]"
 50, 7,30,  4,  2,  0,     pso, 48,0.04,   0.180,"[5,37,36,28,6,5,1,31,7,30,15,6,23,29,26,13,4,27,0,18,19,14,10,17,8,7,34,3 20,11,25,16,32,4,35,6,21,1,4,3,9,22,3 7,12,7,33,3,0,24]","[9,27,19,36,31,8,3 7,4,16,28,3,5,15,23,0,34,35,33,1,11,22,25,4,7,32,6,7,0,12,30,7,21,26,4,18,5,3,6,13,10,37,1,14,29,6,24,17,3 20]"
 42, 8, 6,  8, 40,   , combine, 28,0.34,   0.000,"[7,4,6,6,12 4 2,0,1,5,3,11,0 3 4,3,10,2,9,13,3 2,4,4,4 1,7 7,6,5 2,6 1 2,5 2,2 1 2,5 8,1]","[5,4,5 2,3 2,5 8,6 1 2,6,9,4,13,6,4,2 1 2,4 1,2,5 2,6,11,1,1,7 7,0,0 3 4,12 4 2,10,3,3,7]"
 42, 8, 6,  8, 40,   ,combineS, 28,0.34,   0.001,"[7,4,6,6,12 4 2,0,1,5,3,11,0 3 4,3,10,2,9,13,3,2 4,4,4,1 7 7,6,5 2,6 1 2,5 2,2 1,2 5 8,1]","[5,4,5 2,3,2 5 8,6 1 2,6,9,4,13,6,4,2 1,2 4,1,2,5 2,6,11,1,1 7 7,0,0 3 4,12 4 2,10,3,3,7]"
 42, 8, 6,  8, 40,   ,  greedy, 28,0.34,   0.003,"[7,4,6,6,12 4 2,0,1,5,3,11,0 3 4,3,10,2,9,13,3,2 4,4,4,1 7 7,6,5 2,6,1 2 5 2,2 1,2 5 8,1]","[5,4,5 2,3,2 5 8,6,1,2,6,9,4,13,6,4,2 1,2 4,1 2 5 2,6,11,1,1 7 7,0,0 3 4,12 4 2,10,3,3,7]"
 42, 8, 6,  8, 40,  1,     pso, 28,0.34,  16.788,"[7,4,6,6,12 4 2,0,1,5,3,11,0 3 4,3,10,2,9,13,3,2 4,4,4,1 7 7,6,5 2,6,1 2 5 2,2 1,2 5 8,1]","[5,4,5 2,3,2 5 8,6,1,2,6,9,4,13,6,4,2 1,2 4,1 2 5 2,6,11,1,1 7 7,0,0 3 4,12 4 2,10,3,3,7]"
 38, 6, 7,  6, 40,   , combine, 25,0.35,   0.000,"[4,9,4,4 6 0 2,5 3,3 0,2 1,3 5 3,3,12 1,4 11,1,4,0,8 1,3 4,5 1,5,5,10,0,2,7,1,5]","[10,1,2,2 1,4 6 0 2,7,3 4,8 1,9,5 3,5,3 0,0,4,5 1,4 11,3 5 3,12 1,1,0,3,4,5,4,5]"
 38, 6, 7,  6, 40,   ,combineS, 25,0.35,   0.000,"[4,9,4,4 6 0 2,5 3,3 0,2 1,3 5,3,3 12 1,4 11,1,4,0,8 1,3 4,5 1,5,5,10,0,2,7,1,5]","[10,1,2,2 1,4 6 0 2,7,3 4,8 1,9,5 3,5,3 0,0,4,5 1,4 11,3 5,3 12 1,1,0,3,4,5,4,5]"
 38, 6, 7,  6, 40,   ,  greedy, 26,0.32,   0.003,"[4,9,4,4 6 0 2,5,3,3,0,2 1,3 5 3,3 12 1,4 11,1,4,0,8 1,3,4 5 1,5,5,10,0,2,7,1,5]","[10,1,2,2 1,4 6 0 2,7,3,4,8 1,9,5,3 5 3,0,0,4 5 1,4 11,3,5,3 12 1,1,0,3,4,5,4,5]"
 38, 6, 7,  6, 40, 72,     pso, 25,0.35,  19.791,"[4,9,4,4 6 0 2,5 3,3 0,2 1,3 5 3,3,12,1 4 11,1,4,0,8 1,3 4 5,1,5,5,10,0,2,7,1,5]","[10,1,2,2 1,4 6 0 2,7,3,4,8 1,9,5 3,5,3 0,0,4,5,1 4 11,3 5 3,12,1,1,0,3 4 5,4,5]"
 67, 5,13, 13, 91,   , combine, 45,0.33,   0.001,"[0,11,4 2,4 3 1,4 4 1,2 3,4 1,5,15 4 2,3,9,4 4,4,1,3,2 3 1,17,1 2,0,14 0,0,0,0 8,1,3,16,3,2,3,2 4,2 0,2,4,3,12,1 4,1 10,0 3,4,1,13,7 3 1,0,2,6]","[0 8,3,4 2,14 0,5,0,4 4 1,4,2,4 4,11,1 10,9,3,0,12,3,3,0 3,0,2 0,7 3 1,1 4,17,0,4,2,2 4,4 3 1,1,4 1,13,3,6,3,0,1,16,2 3 1,15 4 2,1 2,1,2,2 3,4]"
 67, 5,13, 13, 91,   ,combineS, 43,0.36,   0.001,"[0,11,4 2,4 3 1,4 4 1,2 3 4,1,5,15 4 2,3,9,4 4,4,1,3,2 3 1,17,1 2,0,14 0,0,0,0 8,1,3,16,3,2,3,2 4,2 0,2,4,3,12,1 4,1 10,0 3,4 1 13,7 3 1,0,2,6]","[0 8,3,4 2,14 0,5,0,4 4 1,4,2,4 4,11,1 10,9,3,0,12,3,3,0 3,0,2 0,7 3 1,1 4,17,0,4,2,2 4,4 3 1,1,4 1 13,3,6,3,0,1,16,2 3 1,15 4 2,1 2,1,2,2 3 4]"
 67, 5,13, 13, 91,   ,  greedy, 42,0.38,   0.010,"[0,11,4 2,4 3 1,4 4 1,2 3 4,1,5,15 4 2,3,9,4 4,4,1,3,2 3 1,17,1 2,0,14 0,0,0,0 8,1,3,16,3,2,3,2,4 2,0,2 4,3,12,1 4,1 10,0 3,4 1 13,7 3 1,0 2,6]","[0 8,3,4,2,14 0,5,0,4 4 1,4 2,4 4,11,1 10,9,3,0,12,3,3,0 3,0 2,0,7 3 1,1 4,17,0,4 2,2 4,4 3 1,1,4 1 13,3,6,3,0,1,16,2 3 1,15 4 2,1 2,1,2,2 3 4]"
 67, 5,13, 13, 91,  0,     pso, 42,0.38,  86.749,"[0,11,4 2,4 3 1,4 4 1,2 3 4,1,5,15 4 2,3,9,4 4,4,1,3,2 3 1,17,1 2,0,14 0,0,0,0 8,1,3,16,3,2,3,2,4 2,0,2 4,3,12,1 4,1 10,0 3,4 1 13,7 3 1,0 2,6]","[0 8,3,4,2,14 0,5,0,4 4 1,4 2,4 4,11,1 10,9,3,0,12,3,3,0 3,0 2,0,7 3 1,1 4,17,0,4 2,2 4,4 3 1,1,4 1 13,3,6,3,0,1,16,2 3 1,15 4 2,1 2,1,2,2 3 4]"
 60, 9,26,  7, 11,   , combine, 50,0.17,   0.001,"[16,7 8,28,3 6,30,14,8,25,3,23,15,20,33,3,3,0,7,0 8,2,35 3,0,27,29,18,22,4,32,6 8,11,5,21,4 6,17,0,19,2,24,12,4,8,13,9,9,4,26,34,3 2,3 10,31 5,4 9]","[8,3,26,4 6,11,17,2,29,8,0,3 2,20,28,30,12,2,3,4,15,24,22,18,3 10,19,27,25,9,0 8,4,14,31 5,3 6,3,7,16,13,32,33,9,34,6 8,4,35 3,4 9,5,0,0,21,7 8,23]"
 60, 9,26,  7, 11,   ,combineS, 50,0.17,   0.001,"[16,7 8,28,3 6,30,14,8,25,3,23,15,20,33,3,3,0,7,0 8,2,35 3,0,27,29,18,22,4,32,6 8,11,5,21,4 6,17,0,19,2,24,12,4,8,13,9,9,4,26,34,3 2,3 10,31 5,4 9]","[8,3,26,4 6,11,17,2,29,8,0,3 2,20,28,30,12,2,3,4,15,24,22,18,3 10,19,27,25,9,0 8,4,14,31 5,3 6,3,7,16,13,32,33,9,34,6 8,4,35 3,4 9,5,0,0,21,7 8,23]"
 60, 9,26,  7, 11,   ,  greedy, 50,0.17,   0.018,"[16,7 8,28,3 6,30,14,8,25,3,23,15,20,33,3,3,0,7,0 8,2,35 3,0,27,29,18,22,4,32,6 8,11,5,21,4 6,17,0,19,2,24,12,4,8,13,9,9,4,26,34,3 2,3 10,31 5,4 9]","[8,3,26,4 6,11,17,2,29,8,0,3 2,20,28,30,12,2,3,4,15,24,22,18,3 10,19,27,25,9,0 8,4,14,31 5,3 6,3,7,16,13,32,33,9,34,6 8,4,35 3,4 9,5,0,0,21,7 8,23]"
 60, 9,26,  7, 11,  0,     pso, 50,0.17,   2.414,"[16,7 8,28,3 6,30,14,8,25,3,23,15,20,33,3,3,0,7,0 8,2,35 3,0,27,29,18,22,4,32,6 8,11,5,21,4 6,17,0,19,2,24,12,4,8,13,9,9,4,26,34,3 2,3 10,31 5,4 9]","[8,3,26,4 6,11,17,2,29,8,0,3 2,20,28,30,12,2,3,4,15,24,22,18,3 10,19,27,25,9,0 8,4,14,31 5,3 6,3,7,16,13,32,33,9,34,6 8,4,35 3,4 9,5,0,0,21,7 8,23]"
 40, 6,20,  6,  5,   , combine, 37,0.08,   0.000,"[6,24,17,9,2,23,8,3,20 3,25,3 4,4,15,10,0,2,5,7,19,6,2 16,13,12,26,3,11,0,0,14,4,18,21,5,3,22,3,4]","[3,19,4,4,8,22,9,3,6,17,26,14,0,3,23,5,2,12,2 16,2,7,20 3,0,21,11,3,10,18,3 4,13,6,15,24,4,25,5,0]"
 40, 6,20,  6,  5,   ,combineS, 37,0.08,   0.000,"[6,24,17,9,2,23,8,3,20 3,25,3 4,4,15,10,0,2,5,7,19,6,2 16,13,12,26,3,11,0,0,14,4,18,21,5,3,22,3,4]","[3,19,4,4,8,22,9,3,6,17,26,14,0,3,23,5,2,12,2 16,2,7,20 3,0,21,11,3,10,18,3 4,13,6,15,24,4,25,5,0]"
 40, 6,20,  6,  5,   ,  greedy, 37,0.08,   0.005,"[6,24,17,9,2,23,8,3,20 3,25,3 4,4,15,10,0,2,5,7,19,6,2 16,13,12,26,3,11,0,0,14,4,18,21,5,3,22,3,4]","[3,19,4,4,8,22,9,3,6,17,26,14,0,3,23,5,2,12,2 16,2,7,20 3,0,21,11,3,10,18,3 4,13,6,15,24,4,25,5,0]"
 40, 6,20,  6,  5,  0,     pso, 36,0.10,   0.750,"[6,24,17,9,2,23,8,3,20 3,25,3,4 4,15,10,0,2,5,7,19,6,2 16,13,12,26,3,11,0,0,14,4,18,21,5,3,22,3 4]","[3,19,4 4,8,22,9,3,6,17,26,14,0,3,23,5,2,12,2 16,2,7,20 3,0,21,11,3,10,18,3 4,13,6,15,24,4,25,5,0]"
 69, 5,26, 12, 41,   , combine, 54,0.22,   0.001,"[26,14,2 4,9,28,18,13,2,4,30,4 2,4,11,1,7,22,17 1,16,1,8,29,1,21 0,10,19 2,3,12 1,1,25,4,1 2,4,4,1 1 2,3 0 0,1,24,0 0,0,2,23,4,3 4,2 1,6,2,15,3,3,20,3,3 1,5,27]","[1,1 2,1,11,18,27,7,1 1 2,5,4,20,12 1,4,14,29,0 0,13,25,3 4,8,2,21 0,1,4,2 4,22,4,0,3 1,4,15,24,19 2,9,10,1,3,17 1,6,23,1,4 2,3,2 1,28,4,26,30,2,16,3,3 0 0,3,2]"
 69, 5,26, 12, 41,   ,combineS, 54,0.22,   0.001,"[26,14,2 4,9,28,18,13,2,4,30,4 2,4,11,1,7,22,17 1,16,1,8,29,1,21 0,10,19 2,3,12 1,1,25,4,1 2,4,4,1 1 2,3 0 0,1,24,0 0,0,2,23,4,3 4,2 1,6,2,15,3,3,20,3,3 1,5,27]","[1,1 2,1,11,18,27,7,1 1 2,5,4,20,12 1,4,14,29,0 0,13,25,3 4,8,2,21 0,1,4,2 4,22,4,0,3 1,4,15,24,19 2,9,10,1,3,17 1,6,23,1,4 2,3,2 1,28,4,26,30,2,16,3,3 0 0,3,2]"
 69, 5,26, 12, 41,   ,  greedy, 54,0.22,   0.017,"[26,14,2,4,9,28,18,13,2,4,30,4 2 4,11,1,7,22,17 1,16,1,8,29,1,21 0,10,19 2,3,12 1,1,25,4,1 2,4,4,1 1 2,3 0 0,1,24,0 0,0,2,23,4,3 4,2 1,6,2,15,3,3,20,3,3 1,5,27]","[1 1 2,1,11,18,27,7,1,1 2,5,4,20,12 1,4,14,29,0 0,13,25,3 4,8,2,21 0,1,4 2 4,22,4,0,3 1,4,15,24,19 2,9,10,1,3,17 1,6,23,1,4,2,3,2 1,28,4,26,30,2,16,3,3 0 0,3,2]"
 69, 5,26, 12, 41, 15,     pso, 54,0.22,  22.332,"[26,14,2,4,9,28,18,13,2,4,30,4 2 4,11,1,7,22,17 1,16,1,8,29,1,21 0,10,19,2 3,12 1,1,25,4,1 2,4,4,1 1 2,3 0 0,1,24,0 0,0,2,23,4,3 4,2 1,6,2,15,3,3,20,3,3 1,5,27]","[1,1 2,1,11,18,27,7,1 1 2,5,4,20,12 1,4,14,29,0 0,13,25,3 4,8,2,21 0,1,4 2 4,22,4,0,3 1,4,15,24,19,2,9,10,1,3,17 1,6,23,1,4,2 3,2 1,28,4,26,30,2,16,3,3 0 0,3,2]"
 44, 5,29,  6,  6,   , combine, 40,0.09,   0.000,"[7,12,3 2,2,8,31,17,11,10,6,2,15 4,2,13,1,9,2,23,22,28 21,4,19,4,33,29,32,20,25,16,24,18 0,3,26,5,14,1,0,27,30,2]","[20,14,27,11,2,2,9,25,15 4,4,24,32,2,0,28 21,22,6,26,30,4,29,3,17,1,23,12,2,7,2,5,31,10,1,19,13,18 0,33,16,3 2,8]"
 44, 5,29,  6,  6,   ,combineS, 40,0.09,   0.001,"[7,12,3,2,2 8,31,17,11,10,6,2,15 4,2,13,1,9,2,23,22,28 21,4,19,4,33,29,32,20,25,16,24,18 0,3,26,5,14,1,0,27,30,2]","[20,14,27,11,2,2,9,25,15 4,4,24,32,2,0,28 21,22,6,26,30,4,29,3,17,1,23,12,2,7,2,5,31,10,1,19,13,18 0,33,16,3,2 8]"
 44, 5,29,  6,  6,   ,  greedy, 40,0.09,   0.006,"[7,12,3,2 2,8,31,17,11,10,6,2,15 4,2,13,1,9,2,23,22,28 21,4,19,4,33,29,32,20,25,16,24,18 0,3,26,5,14,1,0,27,30,2]","[20,14,27,11,2 2,9,25,15 4,4,24,32,2,0,28 21,22,6,26,30,4,29,3,17,1,23,12,2,7,2,5,31,10,1,19,13,18 0,33,16,3,2,8]"
 44, 5,29,  6,  6,  0,     pso, 40,0.09,   0.928,"[7,12,3 2,2,8,31,17,11,10,6,2,15 4,2,13,1,9,2,23,22,28 21,4,19,4,33,29,32,20,25,16,24,18 0,3,26,5,14,1,0,27,30,2]","[20,14,27,11,2,2,9,25,15 4,4,24,32,2,0,28 21,22,6,26,30,4,29,3,17,1,23,12,2,7,2,5,31,10,1,19,13,18 0,33,16,3 2,8]"
 61, 8,23,  8,  7,   , combine, 55,0.10,   0.001,"[30,4,16,5 4,1,15,25,7,11,22,3,0,0,5 3,1,9,2,3,1,0 1,0,5,20,13,26,6,2,21,24,14,1,0,29,1,23,4,1,12,1 7,19,7,6,5,7,2,7 4,27,8,7,18 0,28,10,17,6,5]","[7,16,7,7,10,5 3,3,4,24,1,19,1,6,12,13,18 0,14,22,5,1 7,0,7,5,26,8,2,0,25,28,17,23,7 4,5 4,15,3,11,0 1,1,1,2,30,0,1,1,2,4,5,29,9,0,20,21,6,27,6]"
 61, 8,23,  8,  7,   ,combineS, 55,0.10,   0.001,"[30,4,16,5 4,1,15,25,7,11,22,3,0,0,5 3,1,9,2,3,1,0 1,0,5,20,13,26,6,2,21,24,14,1,0,29,1,23,4,1,12,1 7,19,7,6,5,7,2,7 4,27,8,7,18 0,28,10,17,6,5]","[7,16,7,7,10,5 3,3,4,24,1,19,1,6,12,13,18 0,14,22,5,1 7,0,7,5,26,8,2,0,25,28,17,23,7 4,5 4,15,3,11,0 1,1,1,2,30,0,1,1,2,4,5,29,9,0,20,21,6,27,6]"
 61, 8,23,  8,  7,   ,  greedy, 55,0.10,   0.016,"[30,4,16,5 4,1,15,25,7,11,22,3,0,0,5 3,1,9,2,3,1,0 1,0,5,20,13,26,6,2,21,24,14,1,0,29,1,23,4,1,12,1 7,19,7,6,5,7,2,7 4,27,8,7,18 0,28,10,17,6,5]","[7,16,7,7,10,5 3,3,4,24,1,19,1,6,12,13,18 0,14,22,5,1 7,0,7,5,26,8,2,0,25,28,17,23,7 4,5 4,15,3,11,0 1,1,1,2,30,0,1,1,2,4,5,29,9,0,20,21,6,27,6]"
 61, 8,23,  8,  7,  0,     pso, 55,0.10,   1.127,"[30,4,16,5 4,1,15,25,7,11,22,3,0,0,5 3,1,9,2,3,1,0 1,0,5,20,13,26,6,2,21,24,14,1,0,29,1,23,4,1,12,1 7,19,7,6,5,7,2,7 4,27,8,7,18 0,28,10,17,6,5]","[7,16,7,7,10,5 3,3,4,24,1,19,1,6,12,13,18 0,14,22,5,1 7,0,7,5,26,8,2,0,25,28,17,23,7 4,5 4,15,3,11,0 1,1,1,2,30,0,1,1,2,4,5,29,9,0,20,21,6,27,6]"
 57, 9,25,  6,  4,   , combine, 54,0.05,   0.001,"[2,0 6,7,26,31,23,13,7,6,15,6,8,34,3,12,3,4,9,30,0,0,6,29,28,4,10,8 20,17,6,18,2,1,0,0,32,8,1,19,33,9,25,8,22,24,11,8 7,4,14,0,27,16,1,8,21]","[31,1,28,25,29,8,30,6,17,0,26,0 6,0,7,0,11,13,8,4,21,1,6,32,23,3,7,0,8 7,2,2,15,12,4,8,27,6,0,8 20,1,14,9,24,4,6,33,18,22,8,3,19,34,16,9,10]"
 57, 9,25,  6,  4,   ,combineS, 54,0.05,   0.001,"[2,0 6,7,26,31,23,13,7,6,15,6,8,34,3,12,3,4,9,30,0,0,6,29,28,4,10,8 20,17,6,18,2,1,0,0,32,8,1,19,33,9,25,8,22,24,11,8 7,4,14,0,27,16,1,8,21]","[31,1,28,25,29,8,30,6,17,0,26,0 6,0,7,0,11,13,8,4,21,1,6,32,23,3,7,0,8 7,2,2,15,12,4,8,27,6,0,8 20,1,14,9,24,4,6,33,18,22,8,3,19,34,16,9,10]"
