size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 27, 5,13,  4,  1,   , combine, 26,0.04,   0.000,"[3,6,11,3,10,4,8,0,0 2,5,4,16,13,7,2,14,17,2,0,5,9,15,5,12,5,18]","[16,17,3,2,11,13,9,7,10,0,15,4,0 2,2,18,5,14,5,0,6,4,5,3,5,8,12]"
 27, 5,13,  4,  1,   ,combineS, 26,0.04,   0.000,"[3,6,11,3,10,4,8,0,0 2,5,4,16,13,7,2,14,17,2,0,5,9,15,5,12,5,18]","[16,17,3,2,11,13,9,7,10,0,15,4,0 2,2,18,5,14,5,0,6,4,5,3,5,8,12]"
 27, 5,13,  4,  1,   ,  greedy, 26,0.04,   0.003,"[3,6,11,3,10,4,8,0,0 2,5,4,16,13,7,2,14,17,2,0,5,9,15,5,12,5,18]","[16,17,3,2,11,13,9,7,10,0,15,4,0 2,2,18,5,14,5,0,6,4,5,3,5,8,12]"
 27, 5,13,  4,  1,  0,    pso1, 26,0.04,   0.052,"[3,6,11,3,10,4,8,0,0 2,5,4,16,13,7,2,14,17,2,0,5,9,15,5,12,5,18]","[16,17,3,2,11,13,9,7,10,0,15,4,0 2,2,18,5,14,5,0,6,4,5,3,5,8,12]"
 27, 5,13,  4,  1,  0,    psoN, 26,0.04,   0.058,"[3,6,11,3,10,4,8,0,0 2,5,4,16,13,7,2,14,17,2,0,5,9,15,5,12,5,18]","[16,17,3,2,11,13,9,7,10,0,15,4,0 2,2,18,5,14,5,0,6,4,5,3,5,8,12]"
 54, 8,10, 11, 34,   , combine, 40,0.26,   0.000,"[1,6,2,15,8 0 1 1,18 1,6 0,16,4,8 9,13,8,10,14,1,0,3,17,8 19,0 0,11,3,3,0,2 2,8 9,6,1 1,12,8 8,2,9,1,6,1 3,1,4,8,8,2 1]","[8,18 1,3,1,2 1,15,0,8,8 0 1 1,1 3,8 19,2,3,1,8 9,8,1,10,3,1 1,4,11,2 2,4,12,6,6,14,8 9,0 0,16,6 0,8 8,0,6,9,2,13,1,17]"
 54, 8,10, 11, 34,   ,combineS, 41,0.25,   0.001,"[1,6,2,15,8 0 1 1,18 1,6,0 16,4,8 9,13,8,10,14,1,0,3,17,8 19,0,0,11,3,3,0,2 2,8 9,6,1 1,12,8 8,2,9,1,6,1 3,1,4,8,8,2 1]","[8,18 1,3,1,2 1,15,0,8,8 0 1 1,1 3,8 19,2,3,1,8 9,8,1,10,3,1 1,4,11,2 2,4,12,6,6,14,8 9,0,0 16,6,0,8 8,0,6,9,2,13,1,17]"
 54, 8,10, 11, 34,   ,  greedy, 40,0.26,   0.007,"[1,6,2,15,8 0 1 1,18,1,6 0,16,4,8 9,13,8,10,14,1,0,3,17,8 19,0 0,11,3,3,0,2 2,8 9,6,1 1,12,8,8,2,9,1,6,1 3 1,4,8 8,2 1]","[8,18,1 3 1,2 1,15,0,8,8 0 1 1,1,3,8 19,2,3,1,8 9,8,1,10,3,1 1,4,11,2 2,4,12,6,6,14,8 9,0 0,16,6 0,8 8,0,6,9,2,13,1,17]"
 54, 8,10, 11, 34,  0,    pso1, 40,0.26,   6.981,"[1,6,2,15,8 0 1 1,18,1,6 0,16,4,8 9,13,8,10,14,1,0,3,17,8 19,0 0,11,3,3,0,2 2,8 9,6,1 1,12,8 8,2,9,1,6,1 3 1,4,8,8,2 1]","[8,18,1 3 1,2 1,15,0,8,8 0 1 1,1,3,8 19,2,3,1,8 9,8,1,10,3,1 1,4,11,2 2,4,12,6,6,14,8 9,0 0,16,6 0,8 8,0,6,9,2,13,1,17]"
 54, 8,10, 11, 34,  0,    psoN, 40,0.26,  13.186,"[1,6,2,15,8 0 1 1,18,1,6 0,16,4,8 9,13,8,10,14,1,0,3,17,8 19,0 0,11,3,3,0,2 2,8 9,6,1 1,12,8,8,2,9,1,6,1 3 1,4,8 8,2 1]","[8,18,1 3 1,2 1,15,0,8,8 0 1 1,1,3,8 19,2,3,1,8 9,8,1,10,3,1 1,4,11,2 2,4,12,6,6,14,8 9,0 0,16,6 0,8 8,0,6,9,2,13,1,17]"
 49, 9,11,  7, 15,   , combine, 40,0.19,   0.000,"[5 6,8,8,10,8,1,6 1,5,7 2,11,0,4,1,6,5,15,4,9,2,17,5,1,16,18,7,20 1,2,13,4 5,7,7,12,19 2 6,5 5,14,9,6 6,2,0,7]","[6,6 1,8,4,0,2,2,5,13,5,9,0,12,1,10,7,16,8,7,19 2 6,4 5,11,14,1,5 6,2,7 2,6 6,1,4,7,18,15,17,9,5 5,20 1,8,7,5]"
 49, 9,11,  7, 15,   ,combineS, 40,0.19,   0.001,"[5 6,8,8,10,8,1,6 1,5,7 2,11,0,4,1,6,5,15,4,9,2,17,5,1,16,18,7,20 1,2,13,4 5,7,7,12,19 2 6,5 5,14,9,6 6,2,0,7]","[6,6 1,8,4,0,2,2,5,13,5,9,0,12,1,10,7,16,8,7,19 2 6,4 5,11,14,1,5 6,2,7 2,6 6,1,4,7,18,15,17,9,5 5,20 1,8,7,5]"
 49, 9,11,  7, 15,   ,  greedy, 40,0.19,   0.006,"[5 6,8,8,10,8,1,6 1,5,7 2,11,0,4,1,6,5,15,4,9,2,17,5,1,16,18,7,20 1,2,13,4 5,7,7,12,19 2 6,5 5,14,9,6 6,2,0,7]","[6 6,1,8,4,0,2,2,5,13,5,9,0,12,1,10,7,16,8,7,19 2 6,4 5,11,14,1,5 6,2,7 2,6,6 1,4,7,18,15,17,9,5 5,20 1,8,7,5]"
 49, 9,11,  7, 15,  0,    pso1, 40,0.19,   2.290,"[5 6,8,8,10,8,1,6 1,5,7 2,11,0,4,1,6,5,15,4,9,2,17,5,1,16,18,7,20 1,2,13,4 5,7,7,12,19 2 6,5 5,14,9,6 6,2,0,7]","[6,6 1,8,4,0,2,2,5,13,5,9,0,12,1,10,7,16,8,7,19 2 6,4 5,11,14,1,5 6,2,7 2,6 6,1,4,7,18,15,17,9,5 5,20 1,8,7,5]"
 49, 9,11,  7, 15,  0,    psoN, 40,0.19,   3.385,"[5 6,8,8,10,8,1,6 1,5,7 2,11,0,4,1,6,5,15,4,9,2,17,5,1,16,18,7,20 1,2,13,4 5,7,7,12,19 2 6,5 5,14,9,6 6,2,0,7]","[6,6 1,8,4,0,2,2,5,13,5,9,0,12,1,10,7,16,8,7,19 2 6,4 5,11,14,1,5 6,2,7 2,6 6,1,4,7,18,15,17,9,5 5,20 1,8,7,5]"
