size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 44, 6,21,  6,  7,   , combine, 40,0.09,   0.001,"[17 2,18,2 0,3,23,2,21,9,4 2,25,15,19,6,24,1,11,4,4,0,26,3,5,0,1,4,16,20,10,1,5 2,2,8,14,5,22,1,13,7,12,5]","[8,5,16,4 2,20,2,12,22,17 2,26,1,24,5 2,4,10,18,9,23,5,4,2 0,5,2,11,1,3,19,15,4,7,0,0,3,13,25,14,6,1,1,21]"
 44, 6,21,  6,  7,   ,combineS, 40,0.09,   0.001,"[17 2,18,2 0,3,23,2,21,9,4 2,25,15,19,6,24,1,11,4,4,0,26,3,5,0,1,4,16,20,10,1,5 2,2,8,14,5,22,1,13,7,12,5]","[8,5,16,4 2,20,2,12,22,17 2,26,1,24,5 2,4,10,18,9,23,5,4,2 0,5,2,11,1,3,19,15,4,7,0,0,3,13,25,14,6,1,1,21]"
 44, 6,21,  6,  7,   ,  greedy, 40,0.09,   0.007,"[17 2,18,2 0,3,23,2,21,9,4 2,25,15,19,6,24,1,11,4,4,0,26,3,5,0,1,4,16,20,10,1,5 2,2,8,14,5,22,1,13,7,12,5]","[8,5,16,4 2,20,2,12,22,17 2,26,1,24,5 2,4,10,18,9,23,5,4,2 0,5,2,11,1,3,19,15,4,7,0,0,3,13,25,14,6,1,1,21]"
 44, 6,21,  6,  7,  0,     pso, 40,0.09,   0.776,"[17 2,18,2 0,3,23,2,21,9,4 2,25,15,19,6,24,1,11,4,4,0,26,3,5,0,1,4,16,20,10,1,5 2,2,8,14,5,22,1,13,7,12,5]","[8,5,16,4 2,20,2,12,22,17 2,26,1,24,5 2,4,10,18,9,23,5,4,2 0,5,2,11,1,3,19,15,4,7,0,0,3,13,25,14,6,1,1,21]"
 62, 5,14, 15, 84,   , combine, 44,0.30,   0.001,"[1,3 0 4,15,9,3 2,1,16,3 3,3,2,13 2,3,2 7 1,12,2 4,3 0,10,2 3 3,1,2,4,8,2,3,1,17,4,3 0,1,3 3,2,4,0,11,5,4 2,4,3 6,0 1 0,0,14,1,18 2,3]","[13 2,2,3 2,3,5,15,2 4,3 0 4,1,1,4,1,2 7 1,2,11,3,8,3 6,3 3,1,4,4,18 2,0,16,1,14,10,3,12,3,3 0,4,4 2,2,2,0 1 0,3 3,3 0,9,1,2 3 3,0,17]"
 62, 5,14, 15, 84,   ,combineS, 44,0.30,   0.001,"[1,3 0 4,15,9,3 2,1,16,3 3,3,2,13 2,3,2 7 1,12,2 4,3 0,10,2 3 3,1,2,4,8,2,3,1,17,4,3 0,1,3 3,2,4,0,11,5,4 2,4,3 6,0 1 0,0,14,1,18 2,3]","[13 2,2,3 2,3,5,15,2 4,3 0 4,1,1,4,1,2 7 1,2,11,3,8,3 6,3 3,1,4,4,18 2,0,16,1,14,10,3,12,3,3 0,4,4 2,2,2,0 1 0,3 3,3 0,9,1,2 3 3,0,17]"
 62, 5,14, 15, 84,   ,  greedy, 43,0.31,   0.010,"[1,3 0 4,15,9,3,2,1,16,3 3 3,2,13,2 3 2,7 1,12,2 4 3 0,10,2 3 3,1 2,4,8,2,3,1,17,4,3,0,1,3 3,2,4,0,11,5,4 2,4,3 6,0 1 0,0,14,1,18 2,3]","[13,2,2 3 2,3,5,15,2 4 3 0,4,1,1,4,1 2,7 1,2,11,3,8,3 6,3 3,1,4,4,18 2,0,16,1,14,10,3,12,3,3 0 4,4 2,2,2,0 1 0,3 3 3,0,9,1,2 3 3,0,17]"
 62, 5,14, 15, 84,  0,     pso, 43,0.31,  20.300,"[1,3 0 4,15,9,3,2,1,16,3 3 3,2,13,2 3 2,7 1,12,2 4 3 0,10,2 3 3,1 2,4,8,2,3 1,17,4,3,0,1,3,3,2,4,0,11,5,4 2,4,3 6,0 1 0,0,14,1,18 2,3]","[13,2,2 3 2,3,5,15,2 4 3 0,4,1,1,4,1 2,7 1,2,11,3,8,3 6,3,3 1,4,4,18 2,0,16,1,14,10,3,12,3,3 0 4,4 2,2,2,0 1 0,3 3 3,0,9,1,2 3 3,0,17]"
 46, 9,12,  7, 15,   , combine, 38,0.18,   0.000,"[12,2 1,4,6 4,20,1,6 1,19,15,0,6,0 8,8,3 2,14,18,1,0 1,1,5,10,7,5,8,3,16,5,17,3,2,7,9,8,3 4,3,13,2,1 11]","[7,4,2 1,1,7,8,1,15,19,3 4,9,14,1,8,6 1,0 1,5,3 2,5,0,5,3,8,6 4,3,1 11,6,18,2,3,12,10,13,16,17,20,0 8,2]"
 46, 9,12,  7, 15,   ,combineS, 38,0.18,   0.001,"[12,2 1,4,6 4,20,1,6 1,19,15,0,6,0 8,8,3 2,14,18,1,0 1,1,5,10,7,5,8,3,16,5,17,3,2,7,9,8,3 4,3,13,2,1 11]","[7,4,2 1,1,7,8,1,15,19,3 4,9,14,1,8,6 1,0 1,5,3 2,5,0,5,3,8,6 4,3,1 11,6,18,2,3,12,10,13,16,17,20,0 8,2]"
 46, 9,12,  7, 15,   ,  greedy, 38,0.18,   0.007,"[12,2 1,4,6 4,20,1,6,1,19,15,0,6,0 8,8,3,2,14,18,1 0 1,1,5,10,7,5,8,3,16,5,17,3 2,7,9,8,3 4,3,13,2,1 11]","[7,4,2 1,1,7,8,1,15,19,3 4,9,14,1,8,6,1 0 1,5,3 2,5,0,5,3,8,6 4,3,1 11,6,18,2,3,12,10,13,16,17,20,0 8,2]"
 46, 9,12,  7, 15,  0,     pso, 38,0.18,   2.637,"[12,2 1,4,6 4,20,1,6,1,19,15,0,6,0 8,8,3 2,14,18,1 0 1,1,5,10,7,5,8,3,16,5,17,3,2,7,9,8,3 4,3,13,2,1 11]","[7,4,2 1,1,7,8,1,15,19,3 4,9,14,1,8,6,1 0 1,5,3 2,5,0,5,3,8,6 4,3,1 11,6,18,2,3,12,10,13,16,17,20,0 8,2]"
